PokemonsName	TrainersName	CurrentLevel	primaryType	secondaryType
Camerupt	Ace Trainer♀ Brooke	44	5	6
Roserade	Ace Trainer♀ Brooke	44	3	7
Purugly	Ace Trainer♀ Brooke	50	1	NULL
Pelipper	Ace Trainer♀ Brooke	51	2	18
Camerupt	Ace Trainer♀ Brooke	51	5	6
Roserade	Ace Trainer♀ Brooke	51	3	7
Lapras	Ace Trainer♀ Brooke	52	2	17
Snorunt	Ace Trainer♀ Claudia	38	17	NULL
Masquerain	Ace Trainer♀ Claudia	38	8	18
Dusclops	Ace Trainer♀ Claudia	38	15	NULL
Vibrava	Ace Trainer♂ Clyde	35	6	10
Skarmory	Ace Trainer♂ Clyde	37	11	18
Seviper	Ace Trainer♀ Constance	26	7	NULL
Swellow	Ace Trainer♀ Constance	28	1	18
Golem	Ace Trainer♂ Cornelius	39	4	6
Raichu	Ace Trainer♂ Cornelius	39	9	NULL
Mawile	Ace Trainer♂ Edgar	47	11	16
Lairon	Ace Trainer♀ Elaine	38	11	4
Tropius	Ace Trainer♀ Elaine	40	3	18
Linoone	Ace Trainer♂ George	28	1	NULL
Crobat	Ace Trainer♀ Harriet	41	7	18
Pinsir	Ace Trainer♂ Hisato	41	8	NULL
Torkoal	Ace Trainer♀ Honor	39	5	NULL
Medicham	Ace Trainer♀ Honor	39	13	14
Froslass	Ace Trainer♀ Hope	47	17	15
Milotic	Ace Trainer♀ Jennifer	36	2	NULL
Zangoose	Ace Trainer♀ Jody	28	1	NULL
Ninetales	Ace Trainer♀ Julie	35	5	NULL
Bellossom	Ace Trainer♀ Julie	37	3	NULL
Vibrava	Ace Trainer♂ Leopold	39	6	10
Rhydon	Ace Trainer♂ Leopold	39	6	4
Linoone	Ace Trainer♀ Lori	28	1	NULL
Delcatty	Ace Trainer♀ Mary	28	1	NULL
Shedinja	Ace Trainer♀ Melba	55	8	15
Shedinja	Ace Trainer♀ Melba	55	8	15
Zangoose	Ace Trainer♂ Neville	26	1	NULL
Breloom	Ace Trainer♂ Neville	28	3	13
Zangoose	Ace Trainer♂ Neville	34	1	NULL
Breloom	Ace Trainer♂ Neville	36	3	13
Zangoose	Ace Trainer♂ Neville	40	1	NULL
Breloom	Ace Trainer♂ Neville	42	3	13
Zangoose	Ace Trainer♂ Neville	45	1	NULL
Breloom	Ace Trainer♂ Neville	47	3	13
Zangoose	Ace Trainer♂ Neville	52	1	NULL
Breloom	Ace Trainer♂ Neville	53	3	13
Chandelure	Ace Trainer♂ Neville	54	15	5
Linoone	Ace Trainer♂ Parker	28	1	NULL
Kecleon	Ace Trainer♀ Portia	26	1	NULL
Magcargo	Ace Trainer♀ Portia	28	5	4
Kecleon	Ace Trainer♀ Portia	33	1	NULL
Magcargo	Ace Trainer♀ Portia	35	5	4
Kecleon	Ace Trainer♀ Portia	40	1	NULL
Magcargo	Ace Trainer♀ Portia	42	5	4
Kecleon	Ace Trainer♀ Portia	44	1	NULL
Vanillish	Ace Trainer♀ Portia	46	17	NULL
Magcargo	Ace Trainer♀ Portia	44	5	4
Kecleon	Ace Trainer♀ Portia	52	1	NULL
Magcargo	Ace Trainer♀ Portia	53	5	4
Vanilluxe	Ace Trainer♀ Portia	54	17	NULL
Delcatty	Ace Trainer♂ Randall	28	1	NULL
Electrode	Ace Trainer♂ Vito	44	9	NULL
Swalot	Ace Trainer♂ Vito	44	7	NULL
Lairon	Ace Trainer♂ Warren	38	11	4
Alakazam	Ace Trainer♂ Warren	38	14	NULL
Manectric	Ace Trainer♂ Warren	38	9	NULL
Rhyhorn	Ace Trainer♀ Wendy	36	6	4
Tropius	Ace Trainer♀ Wendy	36	3	18
Electrike	Ace Trainer♂ Wilton	20	9	NULL
Makuhita	Ace Trainer♂ Wilton	20	13	NULL
Bagon	Ace Trainer♂ Wilton	20	10	NULL
Manectric	Ace Trainer♂ Wilton	26	9	NULL
Wailmer	Ace Trainer♂ Wilton	26	2	NULL
Hariyama	Ace Trainer♂ Wilton	26	13	NULL
Manectric	Ace Trainer♂ Wilton	33	9	NULL
Wailmer	Ace Trainer♂ Wilton	33	2	NULL
Hariyama	Ace Trainer♂ Wilton	33	13	NULL
Manectric	Ace Trainer♂ Wilton	43	9	NULL
Fraxure	Ace Trainer♂ Wilton	43	10	NULL
Hariyama	Ace Trainer♂ Wilton	43	13	NULL
Wailord	Ace Trainer♂ Wilton	43	2	NULL
Talonflame	Ace Trainer♂ Wilton	50	5	18
Manectric	Ace Trainer♂ Wilton	51	9	NULL
Wailord	Ace Trainer♂ Wilton	51	2	NULL
Hariyama	Ace Trainer♂ Wilton	51	13	NULL
Haxorus	Ace Trainer♂ Wilton	52	10	NULL
Slugma	Ace Trainer♂ Zane	24	5	NULL
Kecleon	Ace Trainer♂ Zane	26	1	NULL
Goomy	Ace Trainer♀ Alexis	22	10	NULL
Sylveon	Ace Trainer♀ Alexis	23	16	NULL
Cloyster	Ace Trainer♀ Angela	58	2	17
Grimer	Ace Trainer♂ Chase	29	7	NULL
Goodra	Ace Trainer♂ Cole	57	10	NULL
Wingull	Ace Trainer♀ Eileen	21	2	18
Fearow	Ace Trainer♀ Eileen	22	1	18
Absol	Ace Trainer♂ Hiroshi	46	12	NULL
Lapras	Ace Trainer♂ Hiroshi	47	2	17
Marowak	Ace Trainer♂ Jackson	56	6	NULL
Braviary	Ace Trainer♂ Jackson	56	1	18
Kadabra	Ace Trainer♂ Jim	21	14	NULL
Lilligant	Ace Trainer♀ Junko	45	3	NULL
Weavile	Ace Trainer♀ Junko	46	12	17
Vulpix	Ace Trainer♀ Karla	34	5	NULL
Haunter	Ace Trainer♀ Karla	34	15	7
Wigglytuff	Ace Trainer♀ Karla	35	1	16
Skarmory	Ace Trainer♂ Kekoa	44	11	18
Sharpedo	Ace Trainer♂ Kekoa	45	2	12
Garbodor	Ace Trainer♀ Lindsey	44	7	NULL
Slowpoke	Ace Trainer♀ Makana	14	2	14
Growlithe	Ace Trainer♀ Tori	13	5	NULL
Arcanine	Ace Trainer♀ Tori	55	5	NULL
Sandshrew	Ace Trainer♂ Yuki	32	6	NULL
Marowak	Ace Trainer♂ Yuki	33	6	NULL
Oddish	Cool♀	100	3	7
Bulbasaur	Cool♀	100	3	7
Squirtle	Cool♀	100	2	NULL
Psyduck	Cool♀	100	2	NULL
Horsea	Cool♀	100	2	NULL
Eevee	Cool♀	100	1	NULL
Paras	Cool♀	100	8	3
Bulbasaur	Cool♀	100	3	7
Bellsprout	Cool♀	100	3	7
Magnemite	Cool♀	100	9	11
Psyduck	Cool♀	100	2	NULL
Poliwag	Cool♀	100	2	NULL
Flareon	Cool♂	100	5	NULL
Slowpoke	Cool♂	100	2	14
Diglett	Cool♂	100	6	NULL
Lickitung	Cool♂	100	1	NULL
Horsea	Cool♂	100	2	NULL
Magnemite	Cool♂	100	9	11
Vulpix	Cool♂	100	5	NULL
Seel	Cool♂	100	2	NULL
Voltorb	Cool♂	100	9	NULL
Sandshrew	Cool♂	100	6	NULL
Ditto	Cool♂	100	1	NULL
Koffing	Cool♂	100	7	NULL
Gloom	Cool♀	100	3	7
Weepinbell	Cool♀	100	3	7
Ivysaur	Cool♀	100	3	7
Golduck	Cool♀	100	2	NULL
Wartortle	Cool♀	100	2	NULL
Seadra	Cool♀	100	2	NULL
Gloom	Cool♀	100	3	7
Parasect	Cool♀	100	8	3
Ivysaur	Cool♀	100	3	7
Magneton	Cool♀	100	9	11
Golduck	Cool♀	100	2	NULL
Seadra	Cool♀	100	2	NULL
Rhyhorn	Cool♂	100	6	4
Magneton	Cool♂	100	9	11
Moltres	Cool♂	100	5	18
Cloyster	Cool♂	100	2	17
Dragonair	Cool♂	100	10	NULL
Kangaskhan	Cool♂	100	1	NULL
Ninetales	Cool♂	100	5	NULL
Gyarados	Cool♂	100	2	18
Raichu	Cool♂	100	9	NULL
Sandslash	Cool♂	100	6	NULL
Jynx	Cool♂	100	17	14
Persian	Cool♂	100	1	NULL
Vileplume	Cool♀	100	3	7
Victreebel	Cool♀	100	3	7
Rhydon	Cool♀	100	6	4
Tentacruel	Cool♀	100	2	7
Blastoise	Cool♀	100	2	NULL
Lapras	Cool♀	100	2	17
Vileplume	Cool♀	100	3	7
Victreebel	Cool♀	100	3	7
Venusaur	Cool♀	100	3	7
Electabuzz	Cool♀	100	9	NULL
Slowbro	Cool♀	100	2	14
Kabutops	Cool♀	100	4	2
Jolteon	Cool♂	100	9	NULL
Ninetales	Cool♂	100	5	NULL
Slowbro	Cool♂	100	2	14
Dragonite	Cool♂	100	10	18
Aerodactyl	Cool♂	100	4	18
Snorlax	Cool♂	100	1	NULL
Electrode	Cool♂	100	9	NULL
Gengar	Cool♂	100	15	7
Lapras	Cool♂	100	2	17
Dragonite	Cool♂	100	10	18
Charizard	Cool♂	100	5	18
Dugtrio	Cool♂	100	6	NULL
Starmie	Cool♀	100	2	14
Dewgong	Cool♀	100	2	17
Omastar	Cool♀	100	4	2
Poliwrath	Cool♀	100	2	13
Venusaur	Cool♀	100	3	7
Exeggutor	Cool♀	100	3	14
Venusaur	Cool♀	100	3	7
Victreebel	Cool♀	100	3	7
Lapras	Cool♀	100	2	17
Electrode	Cool♀	100	9	NULL
Alakazam	Cool♀	100	14	NULL
Snorlax	Cool♀	100	1	NULL
Mew	Cool♂	100	14	NULL
Electrode	Cool♂	100	9	NULL
Snorlax	Cool♂	100	1	NULL
Cloyster	Cool♂	100	2	17
Rhydon	Cool♂	100	6	4
Arcanine	Cool♂	100	5	NULL
Mew	Cool♂	100	14	NULL
Starmie	Cool♂	100	2	14
Exeggutor	Cool♂	100	3	14
Tauros	Cool♂	100	1	NULL
Rhydon	Cool♂	100	6	4
Jolteon	Cool♂	100	9	NULL
Marowak	Cool♀	50	6	NULL
Chansey	Cool♀	50	1	NULL
Parasect	Cool♀	50	8	3
Nidorina	Cool♀	50	7	NULL
Nidorino	Cool♀	50	7	NULL
Lickitung	Cool♀	50	1	NULL
Marowak	Cool♀	50	6	NULL
Chansey	Cool♀	50	1	NULL
Parasect	Cool♀	50	8	3
Nidoqueen	Cool♀	50	7	6
Nidoking	Cool♀	50	7	6
Lickitung	Cool♀	50	1	NULL
Omastar	Cool♂	50	4	2
Dodrio	Cool♂	50	1	18
Tentacruel	Cool♂	50	2	7
Clefable	Cool♂	50	16	NULL
Zapdos	Cool♂	50	9	18
Pinsir	Cool♂	50	8	NULL
Omastar	Cool♂	50	4	2
Dodrio	Cool♂	50	1	18
Tentacruel	Cool♂	50	2	7
Clefable	Cool♂	50	16	NULL
Zapdos	Cool♂	50	9	18
Pinsir	Cool♂	50	8	NULL
Machamp	Cooltrainer♀ Becky	55	13	NULL
Electabuzz	Cooltrainer♀ Becky	55	9	NULL
Scizor	Cooltrainer♀ Becky	55	8	11
Bellossom	Cooltrainer♀ Becky	55	3	NULL
Primeape	Cooltrainer♀ Becky	55	13	NULL
Pinsir	Cooltrainer♀ Becky	55	8	NULL
Gyarados	Cooltrainer♂ Conner	80	2	18
Remoraid	Cooltrainer♂ Conner	60	2	NULL
Muk	Cooltrainer♂ Conner	60	7	NULL
Seadra	Cooltrainer♂ Conner	60	2	NULL
Kingler	Cooltrainer♂ Conner	60	2	NULL
Magcargo	Cooltrainer♂ Conner	60	5	4
Stantler	Cooltrainer♀ Floria	100	1	NULL
Hypno	Cooltrainer♀ Floria	100	14	NULL
Exeggutor	Cooltrainer♀ Floria	100	3	14
Clefable	Cooltrainer♀ Floria	100	16	NULL
Victreebel	Cooltrainer♀ Floria	100	3	7
Poliwrath	Cooltrainer♀ Floria	100	2	13
Hypno	Cooltrainer♀ Floria	100	14	NULL
Exeggutor	Cooltrainer♀ Floria	100	3	14
Rapidash	Cooltrainer♀ Floria	100	5	NULL
Politoed	Cooltrainer♀ Floria	100	2	NULL
Espeon	Cooltrainer♀ Floria	100	14	NULL
Jigglypuff	Cooltrainer♀ Gloria	50	1	16
Venonat	Cooltrainer♀ Gloria	50	8	7
Skiploom	Cooltrainer♀ Gloria	50	3	18
Clefairy	Cooltrainer♀ Gloria	50	16	NULL
Exeggcute	Cooltrainer♀ Gloria	50	3	14
Oddish	Cooltrainer♀ Gloria	50	3	7
Smeargle	Cooltrainer♀ Gloria	50	1	NULL
Tangela	Cooltrainer♀ Gloria	50	3	NULL
Jynx	Cooltrainer♀ Gloria	50	17	14
Golduck	Cooltrainer♀ Gloria	50	2	NULL
Haunter	Cooltrainer♀ Gloria	50	15	7
Ninetales	Cooltrainer♀ Gloria	50	5	NULL
Mew	Cooltrainer♂ Marty	100	14	NULL
Ursaring	Cooltrainer♂ Marty	100	1	NULL
Starmie	Cooltrainer♂ Marty	100	2	14
Umbreon	Cooltrainer♂ Marty	100	12	NULL
Muk	Cooltrainer♂ Marty	100	7	NULL
Tyranitar	Cooltrainer♂ Marty	100	4	12
Celebi	Cooltrainer♂ Marty	100	14	3
Persian	Cooltrainer♂ Marty	100	1	NULL
Gengar	Cooltrainer♂ Marty	100	15	7
Machamp	Cooltrainer♂ Marty	100	13	NULL
Lapras	Cooltrainer♂ Marty	100	2	17
Raikou	Cooltrainer♂ Marty	100	9	NULL
Bulbasaur	Cooltrainer♂ Vince	50	3	7
Squirtle	Cooltrainer♂ Vince	50	2	NULL
Charmander	Cooltrainer♂ Vince	50	5	NULL
Chikorita	Cooltrainer♂ Vince	50	3	NULL
Totodile	Cooltrainer♂ Vince	50	2	NULL
Cyndaquil	Cooltrainer♂ Vince	50	5	NULL
Ivysaur	Cooltrainer♂ Vince	50	3	7
Wartortle	Cooltrainer♂ Vince	50	2	NULL
Charmeleon	Cooltrainer♂ Vince	50	5	NULL
Bayleef	Cooltrainer♂ Vince	50	3	NULL
Croconaw	Cooltrainer♂ Vince	50	2	NULL
Quilava	Cooltrainer♂ Vince	50	5	NULL
Wingull	Cooltrainer♂ Bedro	26	2	18
Bagon	Cooltrainer♂ Bedro	26	10	NULL
Delibird	Cooltrainer♂ Boda	42	17	18
Rhyhorn	Cooltrainer♂ Boda	40	6	4
Anorith	Cooltrainer♂ Boda	42	4	8
Sunkern	Cooltrainer♂ Botan	27	3	NULL
Hoppip	Cooltrainer♂ Botan	28	3	18
Luvdisc	Cooltrainer♀ Buna	41	2	NULL
Hoothoot	Cooltrainer♀ Buna	41	1	18
Treecko	Cooltrainer♀ Buna	42	3	NULL
Glalie	Cooltrainer♂ Daras	51	17	NULL
Breloom	Cooltrainer♂ Daras	54	3	13
Swellow	Cooltrainer♂ Daras	51	1	18
Rhydon	Cooltrainer♂ Daras	51	6	4
Swellow	Cooltrainer♂ Dury	39	1	18
Rhyhorn	Cooltrainer♂ Dury	39	6	4
Sunflora	Cooltrainer♂ Dury	40	3	NULL
Swellow	Cooltrainer♀ Ferda	48	1	18
Sneasel	Cooltrainer♀ Ferda	47	12	17
Girafarig	Cooltrainer♀ Ferda	47	1	14
Vigoroth	Cooltrainer♀ Ferda	48	1	NULL
Doduo	Cooltrainer♂ Herton	31	1	18
Taillow	Cooltrainer♂ Herton	30	1	18
Togepi	Cooltrainer♀ Lehan	16	16	NULL
Vulpix	Cooltrainer♀ Lehan	18	5	NULL
Marill	Cooltrainer♀ Liqui	28	2	16
Surskit	Cooltrainer♀ Liqui	27	8	2
Blaziken	Cooltrainer♀ Lomen	60	5	13
Sceptile	Cooltrainer♀ Lomen	60	3	NULL
Swampert	Cooltrainer♀ Lomen	60	2	6
Altaria	Cooltrainer♀ Lomen	60	10	18
Glalie	Cooltrainer♀ Lomen	60	17	NULL
Bagon	Cooltrainer♀ Neira	34	10	NULL
Numel	Cooltrainer♀ Neira	33	5	6
Mudkip	Cooltrainer♂ Rewn	42	2	NULL
Zubat	Cooltrainer♂ Rewn	41	7	18
Cacnea	Cooltrainer♂ Rewn	41	3	NULL
Taillow	Cooltrainer♂ Stum	16	1	18
Hoothoot	Cooltrainer♂ Stum	15	1	18
Barboach	Cooltrainer♂ Tock	42	2	6
Seedot	Cooltrainer♂ Tock	41	3	NULL
Typhlosion	Cooltrainer♂ Trilo	60	5	NULL
Feraligatr	Cooltrainer♂ Trilo	60	2	NULL
Meganium	Cooltrainer♂ Trilo	60	3	NULL
Breloom	Cooltrainer♂ Trilo	60	3	13
Ampharos	Cooltrainer♂ Trilo	60	9	NULL
Jirachi	Cooltrainer♀ Atilo	50	11	14
Espeon	Cooltrainer♀ Atilo	50	14	NULL
Xatu	Cooltrainer♀ Atilo	50	14	18
Medicham	Cooltrainer♀ Atilo	50	13	14
Gardevoir	Cooltrainer♀ Atilo	50	14	16
Girafarig	Cooltrainer♀ Atilo	50	1	14
Latias	Cooltrainer♂ Berki	50	10	14
Delcatty	Cooltrainer♂ Berki	50	1	NULL
Illumise	Cooltrainer♂ Berki	50	8	NULL
Kirlia	Cooltrainer♂ Berki	50	14	16
Miltank	Cooltrainer♂ Berki	50	1	NULL
Luvdisc	Cooltrainer♂ Berki	50	2	NULL
Entei	Cooltrainer♂ Cruik	50	5	NULL
Golem	Cooltrainer♂ Cruik	50	4	6
Muk	Cooltrainer♂ Cruik	50	7	NULL
Torkoal	Cooltrainer♂ Cruik	50	5	NULL
Manectric	Cooltrainer♂ Cruik	50	9	NULL
Tentacruel	Cooltrainer♂ Cruik	50	2	7
Bellossom	Cooltrainer♂ Dazon	50	3	NULL
Rhydon	Cooltrainer♂ Dazon	50	6	4
Gorebyss	Cooltrainer♂ Dazon	50	2	NULL
Weezing	Cooltrainer♂ Dazon	50	7	NULL
Magneton	Cooltrainer♂ Dazon	50	9	11
Alakazam	Cooltrainer♂ Dazon	50	14	NULL
Suicune	Cooltrainer♂ Desid	50	2	NULL
Raikou	Cooltrainer♂ Desid	50	9	NULL
Entei	Cooltrainer♂ Desid	50	5	NULL
Aggron	Cooltrainer♂ Desid	50	11	4
Donphan	Cooltrainer♂ Desid	50	6	NULL
Salamence	Cooltrainer♂ Desid	50	10	18
Kingdra	Cooltrainer♀ Detta	50	2	10
Golbat	Cooltrainer♀ Detta	50	7	18
Swampert	Cooltrainer♀ Detta	50	2	6
Skarmory	Cooltrainer♀ Detta	50	11	18
Feraligatr	Cooltrainer♀ Detta	50	2	NULL
Starmie	Cooltrainer♀ Detta	50	2	14
Noctowl	Cooltrainer♂ Dillot	50	1	18
Beautifly	Cooltrainer♂ Dillot	50	8	18
Wigglytuff	Cooltrainer♂ Dillot	50	1	16
Forretress	Cooltrainer♂ Dillot	50	8	11
Banette	Cooltrainer♂ Dillot	50	15	NULL
Xatu	Cooltrainer♂ Dillot	50	14	18
Jumpluff	Cooltrainer♂ Farfin	50	3	18
Houndoom	Cooltrainer♂ Farfin	50	12	5
Castform	Cooltrainer♂ Farfin	50	1	NULL
Tropius	Cooltrainer♂ Farfin	50	3	18
Shiftry	Cooltrainer♂ Farfin	50	3	12
Ampharos	Cooltrainer♂ Farfin	50	9	NULL
Dusclops	Cooltrainer♂ Forgon	100	15	NULL
Flygon	Cooltrainer♂ Forgon	100	6	10
Rayquaza	Cooltrainer♂ Forgon	100	10	18
Salamence	Cooltrainer♂ Forgon	100	10	18
Magneton	Cooltrainer♂ Forgon	100	9	11
Altaria	Cooltrainer♂ Forgon	100	10	18
Meganium	Cooltrainer♀ Gilly	50	3	NULL
Ninetales	Cooltrainer♀ Gilly	50	5	NULL
Weezing	Cooltrainer♀ Gilly	50	7	NULL
Sandslash	Cooltrainer♀ Gilly	50	6	NULL
Gardevoir	Cooltrainer♀ Gilly	50	14	16
Umbreon	Cooltrainer♀ Gilly	50	12	NULL
Huntail	Cooltrainer♀ Gosney	50	2	NULL
Gorebyss	Cooltrainer♀ Gosney	50	2	NULL
Volbeat	Cooltrainer♀ Gosney	50	8	NULL
Manectric	Cooltrainer♀ Gosney	50	9	NULL
Quagsire	Cooltrainer♀ Gosney	50	2	6
Mantine	Cooltrainer♀ Gosney	50	2	18
Anorith	Cooltrainer♂ Hebel	50	4	8
Beautifly	Cooltrainer♂ Hebel	50	8	18
Dustox	Cooltrainer♂ Hebel	50	8	7
Ledian	Cooltrainer♂ Hebel	50	8	18
Ariados	Cooltrainer♂ Hebel	50	8	7
Yanma	Cooltrainer♂ Hebel	50	8	18
Gyarados	Cooltrainer♀ Levens	50	2	18
Rhydon	Cooltrainer♀ Levens	50	6	4
Altaria	Cooltrainer♀ Levens	50	10	18
Manectric	Cooltrainer♀ Levens	50	9	NULL
Gorebyss	Cooltrainer♀ Levens	50	2	NULL
Relicanth	Cooltrainer♀ Levens	50	2	4
Dodrio	Cooltrainer♀ Moden	100	1	18
Milotic	Cooltrainer♀ Moden	100	2	NULL
Metagross	Cooltrainer♀ Moden	100	11	14
Jirachi	Cooltrainer♀ Moden	100	11	14
Raikou	Cooltrainer♀ Moden	100	9	NULL
Crobat	Cooltrainer♀ Moden	100	7	18
Bellossom	Cooltrainer♂ Morfon	50	3	NULL
Octillery	Cooltrainer♂ Morfon	50	2	NULL
Ninetales	Cooltrainer♂ Morfon	50	5	NULL
Donphan	Cooltrainer♂ Morfon	50	6	NULL
Solrock	Cooltrainer♂ Morfon	50	4	14
Sableye	Cooltrainer♂ Morfon	50	12	15
Voltorb	Cooltrainer♂ Moril	50	9	NULL
Lombre	Cooltrainer♂ Moril	50	2	3
Clamperl	Cooltrainer♂ Moril	50	2	NULL
Nuzleaf	Cooltrainer♂ Moril	50	3	12
Vibrava	Cooltrainer♂ Moril	50	6	10
Teddiursa	Cooltrainer♂ Moril	50	1	NULL
Slaking	Cooltrainer♀ Rask	100	1	NULL
Alakazam	Cooltrainer♀ Rask	100	14	NULL
Dodrio	Cooltrainer♀ Rask	100	1	18
Espeon	Cooltrainer♀ Rask	100	14	NULL
Raikou	Cooltrainer♀ Rask	100	9	NULL
Crobat	Cooltrainer♀ Rask	100	7	18
Nincada	Cooltrainer♀ Rateis	50	8	6
Zubat	Cooltrainer♀ Rateis	50	7	18
Swinub	Cooltrainer♀ Rateis	50	17	6
Sentret	Cooltrainer♀ Rateis	50	1	NULL
Pineco	Cooltrainer♀ Rateis	50	8	NULL
Taillow	Cooltrainer♀ Rateis	50	1	18
Skiploom	Cooltrainer♀ Rosno	50	3	18
Oddish	Cooltrainer♀ Rosno	50	3	7
Bellossom	Cooltrainer♀ Rosno	50	3	NULL
Chikorita	Cooltrainer♀ Rosno	50	3	NULL
Lombre	Cooltrainer♀ Rosno	50	2	3
Cacnea	Cooltrainer♀ Rosno	50	3	NULL
Skitty	Cooltrianer♂ Shadd	50	1	NULL
Jigglypuff	Cooltrianer♂ Shadd	50	1	16
Kirlia	Cooltrianer♂ Shadd	50	14	16
Surskit	Cooltrianer♂ Shadd	50	8	2
Trapinch	Cooltrianer♂ Shadd	50	6	NULL
Zigzagoon	Cooltrianer♂ Shadd	50	1	NULL
Heracross	Cooltrainer♀ Tynan	50	8	13
Wobbuffet	Cooltrainer♀ Tynan	50	14	NULL
Milotic	Cooltrainer♀ Tynan	50	2	NULL
Dodrio	Cooltrainer♀ Tynan	50	1	18
Cacturne	Cooltrainer♀ Tynan	50	3	12
Sableye	Cooltrainer♀ Tynan	50	12	15
Alakazam	Cooltrianer♂ Vanhub	100	14	NULL
Rhydon	Cooltrianer♂ Vanhub	100	6	4
Ludicolo	Cooltrianer♂ Vanhub	100	2	3
Gyarados	Cooltrianer♂ Vanhub	100	2	18
Regice	Cooltrianer♂ Vanhub	100	17	NULL
Sceptile	Cooltrianer♂ Vanhub	100	3	NULL
Graveler	Cooltrainer♀ Veron	50	4	6
Swablu	Cooltrainer♀ Veron	50	1	18
Plusle	Cooltrainer♀ Veron	50	9	NULL
Minun	Cooltrainer♀ Veron	50	9	NULL
Wailmer	Cooltrainer♀ Veron	50	2	NULL
Pupitar	Cooltrainer♀ Veron	50	4	6
Pelipper	Cooltrainer♀ Zoel	50	2	18
Gligar	Cooltrainer♀ Zoel	50	6	18
Delibird	Cooltrainer♀ Zoel	50	17	18
Golbat	Cooltrainer♀ Zoel	50	7	18
Masquerain	Cooltrainer♀ Zoel	50	8	18
Yanma	Cooltrainer♀ Zoel	50	8	18
Doduo	Cooltrainer♂ Bardo	10	1	18
Spoink	Cooltrainer♂ Bardo	10	14	NULL
Breloom	Cooltrainer♂ Carben	40	3	13
Qwilfish	Cooltrainer♂ Carben	40	2	7
Miltank	Cooltrainer♂ Carben	40	1	NULL
Combusken	Cooltrainer♂ Carben	40	5	13
Grumpig	Cooltrainer♂ Carben	40	14	NULL
Azurill	Cooltrainer♀ Cida	7	1	16
Igglybuff	Cooltrainer♀ Cida	7	1	16
Togepi	Cooltrainer♀ Cida	7	16	NULL
Marill	Cooltrainer♀ Cida	10	2	16
Jigglypuff	Cooltrainer♀ Cida	10	1	16
Togepi	Cooltrainer♀ Cida	10	16	NULL
Azumarill	Cooltrainer♀ Cida	50	2	16
Wigglytuff	Cooltrainer♀ Cida	50	1	16
Togetic	Cooltrainer♀ Cida	50	16	18
Clamperl	Cooltrainer♂ Degin	44	2	NULL
Corsola	Cooltrainer♂ Degin	44	2	4
Togetic	Cooltrainer♂ Degin	45	16	18
Baltoy	Cooltrainer♀ Dibsin	12	6	14
Skitty	Cooltrainer♀ Dibsin	11	1	NULL
Chikorita	Cooltrainer♀ Dibsin	12	3	NULL
Blissey	Cooltrainer♀ Dodin	100	1	NULL
Zapdos	Cooltrainer♀ Ebson	50	9	18
Articuno	Cooltrainer♀ Ebson	50	17	18
Entei	Cooltrainer♀ Ebson	50	5	NULL
Moltres	Cooltrainer♀ Ebson	50	5	18
Raikou	Cooltrainer♀ Ebson	50	9	NULL
Suicune	Cooltrainer♀ Ebson	50	2	NULL
Sneasel	Cooltrainer♀ Equin	23	12	17
Spoink	Cooltrainer♀ Equin	23	14	NULL
Spinda	Cooltrainer♀ Equin	23	1	NULL
Sneasel	Cooltrainer♀ Equin	50	12	17
Grumpig	Cooltrainer♀ Equin	50	14	NULL
Spinda	Cooltrainer♀ Equin	50	1	NULL
Crobat	Cooltrainer♀ Flostin	69	7	18
Swellow	Cooltrainer♀ Flostin	69	1	18
Heracross	Cooltrainer♀ Flostin	69	8	13
Hariyama	Cooltrainer♀ Flostin	69	13	NULL
Machamp	Cooltrainer♀ Flostin	69	13	NULL
Anorith	Cooltrainer♀ Gabsen	44	4	8
Dustox	Cooltrainer♀ Gabsen	44	8	7
Forretress	Cooltrainer♀ Gabsen	45	8	11
Lileep	Cooltrainer♀ Gabsen	45	4	3
Zigzagoon	Cooltrainer♂ Gorps	8	1	NULL
Numel	Cooltrainer♂ Gorps	8	5	6
Gligar	Cooltrainer♀ Halsion	40	6	18
Castform	Cooltrainer♀ Halsion	40	1	NULL
Cacturne	Cooltrainer♀ Halsion	40	3	12
Dugtrio	Cooltrainer♀ Halsion	40	6	NULL
Volbeat	Cooltrainer♀ Hileon	40	8	NULL
Tentacruel	Cooltrainer♀ Hileon	40	2	7
Dusclops	Cooltrainer♀ Hileon	40	15	NULL
Chimecho	Cooltrainer♀ Hileon	40	14	NULL
Marowak	Cooltrainer♂ Klept	50	6	NULL
Manectric	Cooltrainer♂ Klept	50	9	NULL
Starmie	Cooltrainer♂ Klept	50	2	14
Gyarados	Cooltrainer♂ Klept	50	2	18
Dodrio	Cooltrainer♂ Klept	50	1	18
Lapras	Cooltrainer♂ Klept	50	2	17
Breloom	Cooltrainer♂ Lask	62	3	13
Tyranitar	Cooltrainer♂ Lask	62	4	12
Swampert	Cooltrainer♂ Lask	62	2	6
Armaldo	Cooltrainer♂ Lask	62	4	8
Murkrow	Cooltrainer♂ Malex	40	12	18
Swellow	Cooltrainer♂ Malex	40	1	18
Noctowl	Cooltrainer♂ Malex	40	1	18
Skarmory	Cooltrainer♂ Malex	40	11	18
Quagsire	Cooltrainer♂ Mopar	28	2	6
Sealeo	Cooltrainer♂ Mopar	28	17	2
Marowak	Cooltrainer♂ Niled	50	6	NULL
